users,event_type,country_code,no_categories,os,os_type,no_events,no_features
1,impbeacon,BJ,3,"{""type"":""win"",""ver"":5}",win,17,77
1,impbeacon,BN,2,"{""type"":""win"",""ver"":4}",win,5,19
3,impbeacon,BR,2,NULL,NULL,3,9
256,impbeacon,BR,87,"{""type"":""win"",""ver"":3}",win,36144,155196
3,impbeacon,BR,6,"{""type"":""win"",""ver"":6}",win,33,160
4,impbeacon,BT,22,"{""type"":""win"",""ver"":4}",win,306,1293
1,impbeacon,BW,16,"{""type"":""win"",""ver"":4}",win,519,2144
1,impbeacon,BY,22,"{""type"":""win"",""ver"":5}",win,1040,4288
3,impbeacon,CA,9,"{""type"":""win"",""ver"":1}",win,127,279
35,impbeacon,CA,49,"{""type"":""win"",""ver"":4}",win,2031,6655
1,impbeacon,CD,10,"{""type"":""win"",""ver"":1}",win,85,409
1,impbeacon,CD,12,"{""type"":""win"",""ver"":4}",win,632,2706
4,impbeacon,CG,14,"{""type"":""win"",""ver"":4}",win,388,1806
21,impbeacon,CI,41,"{""type"":""win"",""ver"":5}",win,3810,16726
261,impbeacon,CL,124,"{""type"":""win"",""ver"":5}",win,95857,410387
1,impbeacon,CM,6,"{""type"":""win"",""ver"":1}",win,10,45
2,impbeacon,CM,26,"{""type"":""win"",""ver"":4}",win,751,3337
1,impbeacon,CN,10,"{""type"":""win"",""ver"":3}",win,208,818
822,impbeacon,CO,145,"{""type"":""win"",""ver"":5}",win,265944,1180505
4,impbeacon,CR,24,"{""type"":""win"",""ver"":5}",win,490,2149
9,impbeacon,CV,23,"{""type"":""win"",""ver"":4}",win,563,2385
1,impbeacon,CY,1,"{""type"":""win"",""ver"":1}",win,1,4
10,impbeacon,CY,35,"{""type"":""win"",""ver"":4}",win,4392,17880
2,impbeacon,CZ,19,"{""type"":""win"",""ver"":3}",win,405,1771
1,impbeacon,DE,1,"{""type"":""win"",""ver"":2}",win,1,4
4278,impbeacon,DE,174,"{""type"":""win"",""ver"":5}",win,382057,1591139
13,impbeacon,DK,53,"{""type"":""win"",""ver"":5}",win,5447,24026
2,impbeacon,DO,33,"{""type"":""win"",""ver"":1}",win,1460,5906
8,impbeacon,DO,37,"{""type"":""win"",""ver"":4}",win,2059,8618
94,impbeacon,DZ,95,"{""type"":""win"",""ver"":5}",win,39089,175724
1,impbeacon,EC,6,"{""type"":""win"",""ver"":3}",win,39,171
1,impbeacon,EE,2,"{""type"":""win"",""ver"":1}",win,5,21
7,impbeacon,EE,24,"{""type"":""win"",""ver"":4}",win,2863,11584
28,impbeacon,EG,44,"{""type"":""win"",""ver"":5}",win,6701,29501
2,impbeacon,ES,2,"{""type"":""win"",""ver"":2}",win,7,12
4540,impbeacon,ES,181,"{""type"":""win"",""ver"":5}",win,591684,2535555
2,impbeacon,ET,9,"{""type"":""win"",""ver"":1}",win,128,547
9,impbeacon,ET,20,"{""type"":""win"",""ver"":4}",win,1098,4694
1,impbeacon,EU,2,"{""type"":""win"",""ver"":3}",win,2,9
2,impbeacon,FI,17,"{""type"":""win"",""ver"":5}",win,553,2441
2,impbeacon,FJ,19,"{""type"":""win"",""ver"":4}",win,1474,6797
4,impbeacon,FR,26,"{""type"":""win"",""ver"":2}",win,490,1997
9595,impbeacon,FR,202,"{""type"":""win"",""ver"":5}",win,1172799,4810439
1,impbeacon,GB,4,"{""type"":""win"",""ver"":2}",win,17,75
2791,impbeacon,GB,158,"{""type"":""win"",""ver"":5}",win,252789,1031921
5,impbeacon,GE,42,"{""type"":""win"",""ver"":5}",win,2895,12903
4,impbeacon,GF,28,"{""type"":""win"",""ver"":4}",win,1532,7356
4,impbeacon,GH,14,"{""type"":""win"",""ver"":5}",win,446,1848
3,impbeacon,GP,21,"{""type"":""win"",""ver"":3}",win,893,3612
4,impbeacon,GR,19,"{""type"":""win"",""ver"":1}",win,554,2357
36,impbeacon,GR,63,"{""type"":""win"",""ver"":4}",win,18881,83340
6,impbeacon,GT,43,"{""type"":""win"",""ver"":5}",win,2189,8911
1,impbeacon,GU,10,"{""type"":""win"",""ver"":4}",win,362,1479
1,impbeacon,HK,12,"{""type"":""win"",""ver"":1}",win,199,844
5,impbeacon,HK,9,"{""type"":""win"",""ver"":4}",win,293,1327
3,impbeacon,HN,16,"{""type"":""win"",""ver"":4}",win,123,503
1,impbeacon,HR,1,"{""type"":""win"",""ver"":3}",win,2,8
3,impbeacon,HT,32,"{""type"":""win"",""ver"":4}",win,759,3041
15,impbeacon,ID,31,"{""type"":""win"",""ver"":1}",win,2168,9262
147,impbeacon,ID,80,"{""type"":""win"",""ver"":4}",win,44079,179387
21,impbeacon,IL,35,"{""type"":""win"",""ver"":5}",win,4672,20324
1,impbeacon,IN,2,"{""type"":""win"",""ver"":3}",win,3,14
3,impbeacon,IQ,20,NULL,NULL,392,0
47,impbeacon,IR,41,"{""type"":""win"",""ver"":5}",win,4538,19002
1,impbeacon,IT,8,NULL,NULL,78,43
507,impbeacon,IT,118,"{""type"":""win"",""ver"":3}",win,57544,230373
2,impbeacon,JO,33,"{""type"":""win"",""ver"":1}",win,2920,13209
26,impbeacon,JO,55,"{""type"":""win"",""ver"":4}",win,7206,31568
1,impbeacon,KE,17,"{""type"":""win"",""ver"":1}",win,448,1804
13,impbeacon,KE,26,"{""type"":""win"",""ver"":4}",win,4978,20501
2,impbeacon,KG,6,"{""type"":""win"",""ver"":5}",win,38,177
1,impbeacon,KH,10,"{""type"":""win"",""ver"":1}",win,143,655
10,impbeacon,KH,21,"{""type"":""win"",""ver"":4}",win,994,4455
1,impbeacon,KM,9,"{""type"":""win"",""ver"":5}",win,80,382
1,impbeacon,KR,10,NULL,NULL,102,0
1,impbeacon,KR,6,"{""type"":""win"",""ver"":3}",win,52,209
19,impbeacon,KW,45,"{""type"":""win"",""ver"":4}",win,4575,17818
1,impbeacon,KZ,11,"{""type"":""win"",""ver"":1}",win,153,659
16,impbeacon,KZ,29,"{""type"":""win"",""ver"":4}",win,2733,11363
